ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-60781N|refseq:NP_001094028|uniprotkb:D3ZWV8	DIP-37114N|refseq:NP_599193|uniprotkb:Q6RUV5	 -	-	-	-	MI:0096(pull down)	-	pubmed:18957540|pubmed:DIP-16612S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196231E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29639N|refseq:NP_037052|uniprotkb:P11275	DIP-60789N|refseq:NP_062154|uniprotkb:O70610	 -	-	-	-	MI:0096(pull down)	-	pubmed:19095792|pubmed:DIP-16623S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196250E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59249N|uniprotkb:Q3TKT4	DIP-36882N|uniprotkb:Q62908	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17185421|pubmed:DIP-16627S|pubmed:17185421|pubmed:DIP-16627S|pubmed:17185421|pubmed:DIP-16627S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196256E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60791N|refseq:NP_653331|uniprotkb:P46152	DIP-59249N|uniprotkb:Q3TKT4	 -	-	-	-	MI:0096(pull down)	-	pubmed:17185421|pubmed:DIP-16627S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-196257E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60794N|refseq:NP_077375|uniprotkb:Q9R1T5	DIP-60794N|refseq:NP_077375|uniprotkb:Q9R1T5	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:17194761|pubmed:DIP-16630S|pubmed:17194761|pubmed:DIP-16630S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-196262E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29208N|refseq:NP_034241|uniprotkb:P52800	DIP-40944N|refseq:NP_542150|uniprotkb:P62944	 -	-	-	-	MI:0096(pull down)	-	pubmed:23354168|pubmed:DIP-16527S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196355E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29208N|refseq:NP_034241|uniprotkb:P52800	DIP-29761N|refseq:NP_446289|uniprotkb:P84092	 -	-	-	-	MI:0096(pull down)	-	pubmed:23354168|pubmed:DIP-16527S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196356E	dip-quality-status:core	dip:0004(small scale)		-
DIP-47397N|uniprotkb:P41499	DIP-60750N|refseq:NP_001162104|uniprotkb:F1MAL5	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19380737|pubmed:DIP-16570S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196405E	dip-quality-status:core	dip:0004(small scale)		-
DIP-47397N|uniprotkb:P41499	DIP-33696N|refseq:NP_037137|uniprotkb:Q63787	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19380737|pubmed:DIP-16570S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196406E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60742N|refseq:NP_071542|uniprotkb:O08721	DIP-60741N|refseq:NP_067295|uniprotkb:Q9JI33	 -	-	-	-	MI:0096(pull down)	-	pubmed:19193855|pubmed:DIP-16562S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196096E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40507N|refseq:NP_037043|uniprotkb:P29067	DIP-5855N|refseq:NP_001829|uniprotkb:P32248	 -	-	-	-	MI:0055(fluorescent resonance energy transfer)	-	pubmed:19497875|pubmed:DIP-16588S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-196164E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60851N|refseq:NP_075247|uniprotkb:O88763	DIP-34793N|refseq:NP_036699|uniprotkb:P08050	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:24705551|pubmed:DIP-16689S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196575E	dip-quality-status:core	dip:0004(small scale)		-
DIP-34793N|refseq:NP_036699|uniprotkb:P08050	DIP-60850N|refseq:NP_001100728|uniprotkb:D4A4K3	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:24705551|pubmed:DIP-16689S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196576E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29761N|refseq:NP_446289|uniprotkb:P84092	DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:17289840|pubmed:DIP-16718S|pubmed:17289840|pubmed:DIP-16718S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-196654E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-30929N|refseq:NP_113796|uniprotkb:P19490	DIP-29761N|refseq:NP_446289|uniprotkb:P84092	 -	-	-	-	MI:0096(pull down)	-	pubmed:17289840|pubmed:DIP-16718S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196655E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29761N|refseq:NP_446289|uniprotkb:P84092	DIP-30954N|uniprotkb:P19492	 -	-	-	-	MI:0096(pull down)	-	pubmed:17289840|pubmed:DIP-16718S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196656E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29761N|refseq:NP_446289|uniprotkb:P84092	DIP-60874N	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:17289840|pubmed:DIP-16718S	taxid:10116(Rattus norvegicus)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196657E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31532N|uniprotkb:P46100	DIP-60875N|refseq:NP_073164|uniprotkb:Q00566	 -	-	-	-	MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S|pubmed:17296936|pubmed:DIP-16719S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196658E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-55974N|uniprotkb:Q61687	DIP-60875N|refseq:NP_073164|uniprotkb:Q00566	 -	-	-	-	MI:0096(pull down)	-	pubmed:17296936|pubmed:DIP-16719S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196659E	dip-quality-status:core	dip:0004(small scale)		-
DIP-42785N|uniprotkb:P07858	DIP-44866N|refseq:NP_110454|uniprotkb:P98158	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:17369355|pubmed:DIP-16754S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196723E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29686N|refseq:NP_001092|uniprotkb:P60709	DIP-36948N|uniprotkb:P08413	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0020(transmission electron microscopy)	-	pubmed:17404223|pubmed:DIP-16765S|pubmed:17404223|pubmed:DIP-16765S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-196772E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-44935N|refseq:NP_659566|uniprotkb:Q9QWJ9	DIP-5740N|uniprotkb:P15692	 -	-	-	-	MI:0096(pull down)	-	pubmed:17405859|pubmed:DIP-16769S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196783E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44935N|refseq:NP_659566|uniprotkb:Q9QWJ9	DIP-44935N|refseq:NP_659566|uniprotkb:Q9QWJ9	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:17405859|pubmed:DIP-16769S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196784E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60781N|refseq:NP_001094028|uniprotkb:D3ZWV8	DIP-59191N|refseq:NP_001120791|uniprotkb:B2B9B0	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17440041|pubmed:DIP-16780S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196809E	dip-quality-status:core	dip:0004(small scale)		-
DIP-36536N|uniprotkb:Q63699	DIP-44911N|refseq:NP_113950|uniprotkb:O08769	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17463087|pubmed:DIP-16791S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196832E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60962N|uniprotkb:Q9R193	DIP-60963N|uniprotkb:Q5PQX1	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17592128|pubmed:DIP-16839S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196933E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60964N|refseq:NP_001102749|uniprotkb:D4A8G7	DIP-60962N|uniprotkb:Q9R193	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17592128|pubmed:DIP-16839S|pubmed:17592128|pubmed:DIP-16839S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196935E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-44866N|refseq:NP_110454|uniprotkb:P98158	DIP-43906N|refseq:NP_001900|uniprotkb:P07339	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:17369355|pubmed:DIP-16754S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-196724E	dip-quality-status:core	dip:0004(small scale)		-
DIP-358N|refseq:NP_112386|uniprotkb:O70441	DIP-29066N|refseq:NP_035558|uniprotkb:P60879	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-196582E	dip-quality-status:core	dip:0002(small scale)		-
DIP-347N|uniprotkb:P50279	DIP-29066N|refseq:NP_035558|uniprotkb:P60879	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-196583E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29066N|refseq:NP_035558|uniprotkb:P60879	DIP-373N|refseq:NP_112387|uniprotkb:Q08850	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-196585E	dip-quality-status:core	dip:0002(small scale)		-
DIP-46229N|refseq:NP_001101162	DIP-39378N|refseq:NP_114472|uniprotkb:P30337	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17911252|pubmed:DIP-16863S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197008E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44909N|refseq:NP_036879|uniprotkb:P52631	DIP-29206N|refseq:NP_034240|uniprotkb:P52795	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-197014E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60985N|uniprotkb:F1M9D6	DIP-60983N|refseq:NP_001080948|uniprotkb:O13097	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0915(physical association)	MI:0465(dip)	DIP-197015E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60983N|refseq:NP_001080948|uniprotkb:O13097	DIP-44909N|refseq:NP_036879|uniprotkb:P52631	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S|pubmed:17954917|pubmed:DIP-16866S|pubmed:17954917|pubmed:DIP-16866S|pubmed:17954917|pubmed:DIP-16866S	taxid:8355(Xenopus laevis)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197018E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60986N|refseq:NP_071775|uniprotkb:P52632	DIP-60983N|refseq:NP_001080948|uniprotkb:O13097	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0915(physical association)	MI:0465(dip)	DIP-197019E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44909N|refseq:NP_036879|uniprotkb:P52631	DIP-60988N|refseq:NP_001079954|uniprotkb:Q6PF53	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0915(physical association)	MI:0465(dip)	DIP-197020E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44909N|refseq:NP_036879|uniprotkb:P52631	DIP-60987N|refseq:NP_001079311|uniprotkb:Q9PT69	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0915(physical association)	MI:0465(dip)	DIP-197021E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60985N|uniprotkb:F1M9D6	DIP-60988N|refseq:NP_001079954|uniprotkb:Q6PF53	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0915(physical association)	MI:0465(dip)	DIP-197022E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60987N|refseq:NP_001079311|uniprotkb:Q9PT69	DIP-60985N|uniprotkb:F1M9D6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17954917|pubmed:DIP-16866S	taxid:8355(Xenopus laevis)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197023E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40507N|refseq:NP_037043|uniprotkb:P29067	DIP-40507N|refseq:NP_037043|uniprotkb:P29067	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0012(bioluminescence resonance energy transfer)|MI:0055(fluorescent resonance energy transfer)	-	pubmed:17984062|pubmed:DIP-16869S|pubmed:17984062|pubmed:DIP-16869S|pubmed:17984062|pubmed:DIP-16869S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197027E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-1136N|refseq:NP_001104026|uniprotkb:P21333	DIP-40507N|refseq:NP_037043|uniprotkb:P29067	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17984062|pubmed:DIP-16869S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197028E	dip-quality-status:core	dip:0004(small scale)		-
DIP-37029N|refseq:NP_112249|uniprotkb:P54311	DIP-61094N|refseq:NP_001033704|uniprotkb:Q2Q0I9	 -	-	-	-	MI:0096(pull down)	-	pubmed:16407149|pubmed:DIP-16987S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197425E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61094N|refseq:NP_001033704|uniprotkb:Q2Q0I9	DIP-61095N|refseq:NP_112299|uniprotkb:P54313	 -	-	-	-	MI:0096(pull down)	-	pubmed:16407149|pubmed:DIP-16987S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197426E	dip-quality-status:core	dip:0004(small scale)		-
DIP-674N|refseq:NP_058706|uniprotkb:P35439	DIP-49024N|refseq:NP_036678|uniprotkb:P18901	 -	-	-	-	MI:0096(pull down)	-	pubmed:16407151|pubmed:DIP-16988S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197427E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61121N|refseq:NP_203694|uniprotkb:O54912	DIP-606N|refseq:NP_032165|uniprotkb:P21279	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16492788|pubmed:DIP-17028S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-197515E	dip-quality-status:core	dip:0004(small scale)		-
DIP-606N|refseq:NP_032165|uniprotkb:P21279	DIP-61122N|refseq:NP_445857|uniprotkb:Q9ES08	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16492788|pubmed:DIP-17028S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197516E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61121N|refseq:NP_203694|uniprotkb:O54912	DIP-603N|refseq:NP_034431|uniprotkb:P21278	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16492788|pubmed:DIP-17028S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-197517E	dip-quality-status:core	dip:0004(small scale)		-
DIP-35686N|refseq:NP_543181|uniprotkb:Q920M9	DIP-32521N|refseq:NP_002037|uniprotkb:P04406	 -	-	-	-	MI:0096(pull down)	-	pubmed:16505364|pubmed:DIP-17030S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197518E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40738N|refseq:NP_476477|uniprotkb:O88339	DIP-2995N|refseq:NP_010667|uniprotkb:Q06407	 -	-	-	-	MI:0018(two hybrid)|MI:0096(pull down)	-	pubmed:16537494|pubmed:DIP-17038S|pubmed:16537494|pubmed:DIP-17038S	taxid:10116(Rattus norvegicus)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-197532E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-1559N|refseq:NP_014770|uniprotkb:P39083	DIP-40738N|refseq:NP_476477|uniprotkb:O88339	 -	-	-	-	MI:0096(pull down)|MI:0018(two hybrid)	-	pubmed:16537494|pubmed:DIP-17038S|pubmed:16537494|pubmed:DIP-17038S	taxid:4932(Saccharomyces cerevisiae)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-197533E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-61133N|refseq:NP_062041|uniprotkb:O08701	DIP-33272N|uniprotkb:P29476	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16537391|pubmed:DIP-17044S|pubmed:16537391|pubmed:DIP-17044S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197538E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-57661N|uniprotkb:P14842	DIP-61137N|refseq:NP_001178933|uniprotkb:D3Z8E0	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16537434|pubmed:DIP-17046S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197552E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29117N|uniprotkb:P63086	DIP-61143N|refseq:NP_446335|uniprotkb:Q64346	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:16567630|pubmed:DIP-17056S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197569E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61146N|uniprotkb:P34015	DIP-39461N|refseq:NP_036807|uniprotkb:P16599	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:16581912|pubmed:DIP-17058S	taxid:587200(Variola virus (isolate Human/India/Ind3/1967))	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197576E	dip-quality-status:core	dip:0004(small scale)		-
DIP-37338N|refseq:NP_445808|uniprotkb:P02466	DIP-36887N|uniprotkb:P02454	 -	-	-	-	MI:0825(x-ray fiber diffraction)	-	pubmed:16751282|pubmed:DIP-17147S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197715E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60781N|refseq:NP_001094028|uniprotkb:D3ZWV8	DIP-5717N|refseq:NP_036863|uniprotkb:Q63604	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16801538|pubmed:DIP-17191S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-197816E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41029N|refseq:NP_058914|uniprotkb:Q62799	DIP-31275N|refseq:NP_006182|uniprotkb:Q9UQ80	 -	-	-	-	MI:0096(pull down)	-	pubmed:16832058|pubmed:DIP-17204S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-197831E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61307N|uniprotkb:Q27433	DIP-61308N|refseq:NP_113736|uniprotkb:P37089	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17079490|pubmed:DIP-17328S	taxid:6239(Caenorhabditis elegans)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-198267E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61263N	DIP-29528N|uniprotkb:P62161	 -	-	-	-	MI:0017(classical fluorescence spectroscopy)	-	pubmed:16966599|pubmed:DIP-17274S	taxid:-2(chemical synthesis)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-198063E	dip-quality-status:core	dip:0004(small scale)		-
DIP-119N|uniprotkb:P27986	DIP-61264N|uniprotkb:P18113	 -	-	-	-	MI:0096(pull down)	-	pubmed:16966610|pubmed:DIP-17275S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-198066E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61285N|refseq:NP_062528|uniprotkb:Q9JIS7	DIP-29528N|uniprotkb:P62161	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17028172|pubmed:DIP-17294S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-198133E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29528N|uniprotkb:P62161	DIP-61286N|uniprotkb:P15381	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17028172|pubmed:DIP-17294S	taxid:10116(Rattus norvegicus)	taxid:9986(Oryctolagus cuniculus)	MI:0915(physical association)	MI:0465(dip)	DIP-198134E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31794N|refseq:NP_001734|uniprotkb:P62158	DIP-61291N|refseq:NP_037060|uniprotkb:Q00195	 -	-	-	-	MI:0047(far western blotting)	-	pubmed:17032767|pubmed:DIP-17301S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-198148E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31794N|refseq:NP_001734|uniprotkb:P62158	DIP-61290N|refseq:NP_445948|uniprotkb:Q64359	 -	-	-	-	MI:0047(far western blotting)	-	pubmed:17032767|pubmed:DIP-17301S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-198150E	dip-quality-status:core	dip:0004(small scale)		-
